id,name,type,sex,age,education
Vita,Dr. Guiseppe Vita,1,1,83,3
HB,Hugo Boss AG,2,NA,NA,NA
DE,Deutz AG,2,NA,NA,NA
AL,Allianz Lebensversicherung AG,2,NA,NA,NA
CO,Continental AG,2,NA,NA,NA
HE,Herlitz AG,2,NA,NA,NA
GE,Gerling Versicherung,2,NA,NA,NA
ED,Evonik Degussa,2,NA,NA,NA
VA,Vattenfall Europe AG,2,NA,NA,NA
DB,Deutsche Bank Italia,2,NA,NA,NA
AS,Allianz SpA,2,NA,NA,NA
BL,Gruppa Banco Leonardo,2,NA,NA,NA
BA,Barilla SpA,2,NA,NA,NA
HU,Humanitas SpA,2,NA,NA,NA
PI,Pirelli SpA,2,NA,NA,NA
BSS,Banco Leonardo S.A. Stiftung,2,NA,NA,NA
MP,Medical Park AG,2,NA,NA,NA
RK,Robert-Koch-Stiftung,2,NA,NA,NA
DS,Dussman Stiftung,2,NA,NA,NA
DUS,Dussman AG&Co KGaA,2,NA,NA,NA
AP,Deutsche Gesellschaft für Auswärtige Politik,2,NA,NA,NA
UC,UniCredit SpA,2,NA,NA,NA
DN,Deutsche Nationalstiftung,2,NA,NA,NA
AI,General Council of Aspen Institut Italia,2,NA,NA,NA
TK,Trilaterale Kommision,2,NA,NA,NA
ISIP,Istituto per gli Studi di Politica Internazionale,2,NA,NA,NA
SC,Schering AG,2,NA,NA,NA
Leibinger-Kammueller,Dr. Nicola Leibinger-Kammüller,1,2,59,3
Springer,Axel Springer SE,2,NA,NA,NA
TR,Trumpf GmbH + Co. KG,2,NA,NA,NA
SIE,Siemens AG,2,NA,NA,NA
VO,Voith GmbH,2,NA,NA,NA
LBBW,Landesbank Baden-Württemberg,2,NA,NA,NA
SV,Stifterverband,2,NA,NA,NA
LA,Deutsches Literaturarchiv,2,NA,NA,NA
BLS,Berthold Leibinger-Stiftung,2,NA,NA,NA
DM,Deutsches Museum,2,NA,NA,NA
AW,Akademie Wort,2,NA,NA,NA
CDU,CDU,2,NA,NA,NA
Reitzle,Prof. Dr.-Ing. Wolfgang Reitzle,1,1,69,4
BS,Bayrische Staatsregierung,2,NA,NA,NA
